obsid,obi,date
1366,0,'Nov 18 2009 10:07PM'
959,0,'May 11 2007 12:36PM'
55830,0,'Dec  2 2010  3:08AM'
62227,0,'Dec  2 2009  6:22AM'
509,1,'Nov 21 2009  3:52AM'
900,1,'May 23 2007 10:44AM'
58224,0,'Sep 10 2007 10:31AM'
347,0,'Nov 25 2009  2:59AM'
815,0,'Nov 29 2009  4:33PM'
57137,0,'Apr 29 2009  4:06PM'
1266,0,'Dec 14 2009  1:49AM'
62395,0,'Jan 12 2010 12:13PM'
62810,0,'Nov  6 2009  5:18PM'
1450,0,'Nov 15 2010  1:32PM'
1331,0,'Sep 28 2010 12:17PM'
52,0,'Nov  9 2010  3:15PM'
1385,0,'Jan 19 2010  2:41PM'
55459,0,'May  4 2011  7:15PM'
62895,0,'Nov  2 2007  4:23AM'
55602,1,'Mar  9 2011 11:25PM'
62176,1,'Jul 14 2007 11:25AM'
580,0,'Sep 21 2010  3:05PM'
1149,0,'Jan 12 2010  6:31PM'
231,0,'Sep 15 2007  8:28AM'
859,0,'May 10 2007  5:56AM'
87,0,'May 11 2007  1:36PM'
62845,0,'Jun 30 2006  3:49AM'
1131,0,'Jan 12 2010  2:07PM'
57022,0,'Jun 22 2009 11:50AM'
1082,0,'Dec 15 2009 11:22PM'
844,0,'Jul 14 2007  6:11AM'
55377,0,'Jun  5 2011  3:40PM'
1300,0,'Jan 12 2010 11:46PM'
55699,0,'Jan 23 2011 11:47PM'
62090,0,'May 11 2007  6:17PM'
1330,0,'Sep 28 2010 11:38AM'
1319,0,'Sep 28 2010 10:28AM'
801,0,'Nov 25 2009  5:32AM'
62158,1,'Nov  6 2007  1:47PM'
134,0,'Dec 17 2009  3:42AM'
1321,0,'Sep 28 2010 10:31AM'
62127,0,'May  8 2007  9:13AM'
61286,0,'Sep  2 2006 12:49PM'
1444,0,'Nov 24 2009  7:12AM'
55484,0,'Apr 23 2011  9:17PM'
23,0,'Dec  2 2009  7:55AM'
56467,0,'Feb  6 2010  8:43AM'
526,1,'Sep 27 2000  8:21AM'
62556,1,'Dec 13 2009 11:50PM'
1121,0,'Jan 12 2010  1:36PM'
56057,0,'Aug 26 2010 12:56PM'
56909,1,'Aug  5 2009  3:12AM'
219,0,'Dec 17 2009  3:44AM'
53,0,'Jan 13 2010  6:43AM'
60323,0,'May 29 2006 12:43PM'
62299,0,'Nov 24 2009  8:16AM'
59325,0,'Apr  4 2006  4:57PM'
819,1,'May 11 2007  6:12PM'
62320,0,'Nov 21 2009  6:21AM'
1451,0,'Dec 13 2010  3:37PM'
1228,0,'Dec 15 2009 11:04PM'
56151,1,'Jul  4 2010  3:30PM'
1306,0,'Nov 17 2009  4:11AM'
446,1,'May 11 2007  5:54PM'
56062,0,'Aug 23 2010  2:32PM'
61331,0,'Aug 29 2006 11:23AM'
36,1,'Nov 21 2009  4:09AM'
1277,0,'Dec 17 2009 12:32AM'
62063,0,'May 18 2007  1:50AM'
113,0,'May  8 2007  8:20AM'
876,0,'Nov 29 2009  2:28PM'
336,0,'Nov 24 2009  5:28AM'
62549,1,'Dec 13 2009 11:51PM'
380,1,'Jun 29 2007  2:27PM'
56503,0,'Jan 19 2010  2:54AM'
62391,0,'Jan 13 2010 12:50AM'
56853,0,'Sep  3 2009 10:40AM'
62167,0,'Sep 14 2007  8:08PM'
602,0,'Jul 14 2007 11:08AM'
1407,0,'Nov 20 2009  7:52AM'
62552,1,'Dec 13 2009 11:51PM'
66,0,'Dec 15 2009 11:15PM'
58594,0,'Jan  6 2007 11:06AM'
1328,0,'Sep 28 2010 11:31AM'
1101,1,'Dec 17 2009  5:58AM'
1485,0,'Nov 25 2009  5:05AM'
57708,0,'Jul  9 2008 11:51AM'
57286,0,'Feb 19 2009 12:07PM'
55439,0,'May 12 2011 12:28PM'
56490,1,'Jan 25 2010  2:18PM'
735,1,'May 18 2007  2:27AM'
306,0,'Nov 29 2009  2:29PM'
279,1,'Aug 16 2010  2:46PM'
56413,0,'Mar  4 2010 11:49PM'
62173,0,'Jul 14 2007  6:01AM'
60636,0,'Jul 14 2006  7:25AM'
60321,0,'May 26 2006  8:07PM'
1104,0,'Jan 13 2010  1:05AM'
1096,1,'Dec 17 2009  3:32AM'
848,0,'May  8 2007  9:12AM'
1409,0,'Nov 20 2009  7:40AM'
875,0,'May  8 2007  8:41AM'
61070,2,'Sep 28 2006  1:15PM'
631,0,'Nov 24 2009  5:24AM'
409,0,'Nov 26 2009  1:26AM'
58280,0,'Aug  9 2007  5:36AM'
56074,1,'Aug 16 2010  5:36AM'
62197,0,'Jul 14 2007  1:10AM'
413,0,'May 11 2007 12:37PM'
1148,0,'Jan 12 2010  6:31PM'
62550,1,'Dec 13 2009 11:51PM'
1522,2,'May 11 2007  1:57PM'
1157,1,'Dec  2 2009 11:08AM'
5351,2,'Feb  5 2009  2:30AM'
55987,0,'Oct  7 2010 11:27AM'
62105,0,'May 10 2007  5:58AM'
1399,0,'Nov 20 2009 10:54AM'
1414,0,'Nov 20 2009  8:02AM'
1098,0,'Aug  2 2010  1:08PM'
400,1,'May 23 2011  5:08PM'
61197,1,'Sep 16 2006  8:46AM'
726,0,'Dec  2 2009  3:57AM'
62506,0,'Nov 18 2009 10:11PM'
62824,0,'Nov 15 2005  6:46PM'
56160,0,'Jun 30 2010  1:27AM'
62854,0,'Aug 29 2006 10:55AM'
62287,0,'Nov 25 2009  3:02AM'
494,0,'Nov 26 2009  1:25AM'
1063,0,'Dec 14 2009  1:48AM'
546,0,'May 11 2007  1:54PM'
818,1,'Dec  4 2009 11:59PM'
62181,0,'Jul 14 2007 10:35AM'
1453,0,'Nov 20 2009  5:22AM'
858,2,'May 11 2007  5:34PM'
5327,0,'Feb  5 2009  2:27AM'
840,0,'Nov 29 2009  2:41PM'
437,0,'Sep 14 2007  7:45PM'
62304,0,'Nov 24 2009  5:31AM'
1500,0,'Nov 25 2009  5:10AM'
18,1,'Nov 19 2009  8:20AM'
62207,0,'Dec  5 2009  2:43AM'
62152,0,'Sep 15 2007  5:25AM'
56327,1,'Apr 18 2010  6:28PM'
1359,0,'Nov 18 2009 10:05PM'
56510,0,'Jan 16 2010 11:19AM'
56134,0,'Jul  9 2010 10:56AM'
111,0,'Nov 21 2009  6:38AM'
820,1,'Dec  4 2009 11:07PM'
1477,0,'Nov 24 2009  9:32AM'
62328,0,'Nov 21 2009  3:48AM'
62182,0,'Jul 14 2007  6:36AM'
62188,0,'Jul 14 2007  1:46AM'
540,0,'May 11 2007 12:37PM'
5324,0,'Feb  5 2009  1:34AM'
62520,0,'Sep 28 2010  3:23AM'
243,0,'Nov 25 2009  2:42AM'
57872,0,'Apr 11 2008  9:00AM'
1383,0,'Nov 19 2009  6:00AM'
62083,0,'May 11 2007 12:39PM'
1701,0,'May 11 2007  1:04PM'
60521,0,'Jul  1 2006  5:16PM'
57173,0,'Apr 16 2009  5:25AM'
1139,0,'Jan 12 2010  2:10PM'
62231,0,'Dec  2 2009  3:49AM'
2135,2,'Nov 13 2006 10:16AM'
472,1,'Dec 15 2009 10:35PM'
366,2,'May 10 2007  2:21AM'
1354,0,'Nov 18 2009 10:04PM'
56444,1,'Feb 16 2010  7:05PM'
57209,0,'Mar 30 2009  5:20PM'
62300,0,'Nov 24 2009  8:16AM'
246,2,'Sep 14 2007  7:41PM'
62132,0,'May  8 2007  4:44AM'
233,0,'Sep 15 2007  8:20AM'
62257,0,'Nov 26 2009  2:19AM'
426,0,'May 11 2007  6:07PM'
1499,0,'Nov 25 2009  5:09AM'
62538,0,'Nov 17 2009  3:41PM'
164,0,'Dec 13 2009 11:53PM'
59470,0,'Mar 23 2006 11:18AM'
291,0,'Nov 25 2009  2:42AM'
57063,0,'Jun  5 2009  1:55PM'
62284,0,'Nov 25 2009  4:41AM'
62111,0,'May 10 2007  5:29AM'
2547,0,'Jan 25 2007  1:01PM'
1489,0,'Nov 25 2009  5:07AM'
1400,0,'Nov 20 2009 10:56AM'
55723,0,'Jan 18 2011  6:30AM'
1493,0,'Nov 25 2009  5:03AM'
1370,0,'Nov 18 2009 10:09PM'
1386,0,'Nov 19 2009  8:41AM'
1204,0,'Jan 12 2010  9:13AM'
1200,0,'Dec 17 2009  6:45AM'
27,0,'Sep 14 2007  8:26PM'
56765,0,'Oct  7 2009  3:23PM'
1229,0,'Dec 15 2009 11:16PM'
62112,0,'May 10 2007  2:18AM'
56364,1,'Mar 28 2010  2:41PM'
575,0,'Nov 20 2009  1:34PM'
1086,1,'Nov 21 2009  4:03AM'
122,0,'Dec  2 2009  1:38PM'
1422,0,'Nov 20 2009  1:40PM'
